,restaurant_id,restaurant_name,address,city,state,postal_code,latitude,longitude,avg_yelp_rating,review_count,attributes,categories,hours
0,X8mtoSxY8whtmbDlj0D3Aw,Imperial Asian Buffet,4343 N Rancho Dr,Las Vegas,NV,89030,36.238596,-115.2333307,2.0,4,,"Restaurants, Chinese",
1,0G83H_zoum-Q4bWU2olTqQ,Bonjour Bakery & Deli,"4012 S Rainbow Blvd, Ste J",Las Vegas,NV,89103,36.1161693,-115.2418516,4.5,39,"{'WheelchairAccessible': 'True', 'RestaurantsDelivery': 'True', 'DogsAllowed': 'True', 'Caters': 'True', 'RestaurantsReservations': 'True', 'Alcohol': ""u'none'"", 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'HasTV': 'False', 'BikeParking': 'True', 'RestaurantsPriceRange2': '1', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'RestaurantsAttire': ""u'casual'"", 'OutdoorSeating': 'True', 'NoiseLevel': ""u'quiet'""}","Restaurants, Food, Delis, Desserts, Bakeries, Coffee & Tea","{'Monday': '0:0-0:0', 'Tuesday': '8:0-15:0', 'Wednesday': '8:0-15:0', 'Thursday': '8:0-15:0', 'Friday': '10:0-16:0', 'Saturday': '8:0-15:0', 'Sunday': '8:0-15:0'}"
2,k2b3niokS_tosjah_rzCPw,Metro Pizza,6720 Sky Pointe Dr,Las Vegas,NV,89131,36.2836689,-115.2702841,3.5,303,"{'Caters': 'True', 'HasTV': 'True', 'RestaurantsTakeOut': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsReservations': 'False', 'NoiseLevel': ""u'average'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'WiFi': ""u'no'"", 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'True', 'RestaurantsDelivery': 'True', 'Alcohol': ""u'beer_and_wine'""}","Restaurants, Pizza","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}"
3,VVLGIq6ksrgGSfi7VBTmpg,America Cafe,,Las Vegas,NV,,36.1029312326,-115.1765441895,4.0,8,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsReservations': 'True', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'Alcohol': ""u'full_bar'"", 'Caters': 'False', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'False', 'NoiseLevel': ""u'loud'"", 'RestaurantsDelivery': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': True}"", 'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True'}","Restaurants, American (Traditional)",
4,lXCmTGagqHuPgaeN2g2P1Q,Marcos Pizza,5061 E Sahara Ave,Las Vegas,NV,89142,36.1438977,-115.0641604,3.5,39,"{'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'False', 'RestaurantsDelivery': 'True', 'Alcohol': ""u'none'"", 'RestaurantsReservations': 'False', 'HasTV': 'False', 'RestaurantsTakeOut': 'True', 'WiFi': ""'no'"", 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""u'average'"", 'BikeParking': 'False'}","Restaurants, Pizza","{'Monday': '10:0-23:0', 'Tuesday': '10:0-23:0', 'Wednesday': '10:0-23:0', 'Thursday': '10:0-23:0', 'Friday': '10:0-0:0', 'Saturday': '10:0-0:0', 'Sunday': '10:0-23:0'}"
5,W3ia8dkoGGRYEfFg_BiyPg,Einstein Bros Bagels,"7291 S Eastern Ave, Ste A",Las Vegas,NV,89119,36.0574675327,-115.1207419292,2.5,82,"{'RestaurantsDelivery': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""'casual'"", 'WiFi': ""'free'"", 'GoodForKids': 'True', 'Alcohol': ""'none'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'HasTV': 'False', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'Caters': 'True', 'NoiseLevel': ""'average'"", 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'RestaurantsReservations': 'False', 'BikeParking': 'True'}","Restaurants, Pizza, Food, Bagels, Sandwiches, Breakfast & Brunch","{'Monday': '5:0-17:0', 'Tuesday': '5:0-17:0', 'Wednesday': '5:0-17:0', 'Thursday': '5:0-17:0', 'Friday': '5:0-17:0', 'Saturday': '6:0-16:0', 'Sunday': '6:0-15:0'}"
6,yYkvonvBGZB6UMnpzr6Ryw,Burger King,8600 W Cheyenne Ave,Las Vegas,NV,89129,36.2191204,-115.280934,2.5,25,"{'WiFi': ""'free'"", 'OutdoorSeating': 'False', 'RestaurantsReservations': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Alcohol': ""u'none'"", 'RestaurantsPriceRange2': '1', 'Caters': 'False', 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""u'average'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'False', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'HasTV': 'True'}","Restaurants, Burgers, Fast Food","{'Monday': '6:0-0:0', 'Tuesday': '6:0-0:0', 'Wednesday': '6:0-0:0', 'Thursday': '6:0-0:0', 'Friday': '6:0-0:0', 'Saturday': '6:0-0:0', 'Sunday': '7:0-0:0'}"
7,-xX-Vjol_fwWaN2mn1F1wg,Voodoo Pizza,3755 S Las Vegas Blvd,Las Vegas,NV,89109,36.1055294,-115.1721951,3.5,20,"{'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsAttire': ""'casual'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'BikeParking': 'False', 'HasTV': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True'}","Restaurants, Pizza","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
8,6Ege_N9uJ-rtKIs1TNA8aQ,Jack in the Box,6451 Boulder Hwy,Las Vegas,NV,89122,36.0847797554,-115.0315821789,2.5,20,"{'WiFi': ""'no'"", 'RestaurantsReservations': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': True}"", 'Alcohol': ""'none'"", 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""'quiet'"", 'RestaurantsPriceRange2': '1', 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'False', 'Caters': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""'casual'"", 'HasTV': 'False', 'GoodForKids': 'True', 'BikeParking': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True'}","Restaurants, Fast Food","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
9,BIbjBxoiJLS8CnNsSP64TQ,360 Gourmet Burrito,5757 Wayne Newton Blvd,Las Vegas,NV,89119,36.0828536999,-115.1512026606,2.0,168,"{'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'none'"", 'RestaurantsGoodForGroups': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'False', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'NoiseLevel': ""u'loud'"", 'RestaurantsDelivery': 'False', 'WiFi': ""u'no'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'HasTV': 'False', 'BikeParking': 'False', 'RestaurantsTableService': 'False', 'OutdoorSeating': 'False', 'GoodForKids': 'True', 'RestaurantsReservations': 'False'}","Restaurants, Mexican",
10,iX2c4IzH_L5F6FM5GD3SUQ,Tasty Crepes,4845 S Fort Apache Rd,Las Vegas,NV,89147,36.101689985,-115.2981502597,4.5,260,"{'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'none'"", 'WiFi': ""'free'"", 'OutdoorSeating': 'False', 'Caters': 'True', 'RestaurantsAttire': ""'casual'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsPriceRange2': '1', 'RestaurantsDelivery': 'False', 'HasTV': 'True', 'BikeParking': 'True', 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': False}"", 'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'quiet'"", 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsBitcoin': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'ByAppointmentOnly': 'False'}","Restaurants, Desserts, Food, Juice Bars & Smoothies, Creperies, Ice Cream & Frozen Yogurt","{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '12:0-21:0', 'Sunday': '12:0-21:0'}"
11,DVfCbJhJUDWRlUfrKzaKOA,Sam Woo BBQ Restaurant,"4215 Spring Mountain Rd, Ste B101",Las Vegas,NV,89102,36.1253808,-115.1959803,2.0,550,"{'WiFi': ""u'no'"", 'GoodForKids': 'True', 'Caters': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'False', 'HasTV': 'False', 'RestaurantsReservations': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsGoodForGroups': 'True', 'Corkage': 'False', 'BYOB': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'False', 'RestaurantsTakeOut': 'True', 'BikeParking': 'False', 'Alcohol': ""u'none'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'BYOBCorkage': ""'yes_free'"", 'NoiseLevel': ""u'average'""}","Restaurants, Noodles, Barbeque, Chinese","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-0:0', 'Saturday': '10:0-0:0', 'Sunday': '10:0-23:0'}"
12,aBCqrJwXAHnTgO2e_l0v8w,Carl's Jr,2001 Las Vegas Blvd S,Las Vegas,NV,89104,36.1480361,-115.1539772,2.0,35,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'WiFi': ""u'no'"", 'GoodForKids': 'True', 'BikeParking': 'True', 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'False', 'RestaurantsTableService': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'OutdoorSeating': 'False', 'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1', 'Alcohol': ""u'none'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'NoiseLevel': ""u'average'"", 'Caters': 'False', 'DriveThru': 'True'}","Restaurants, Food, Fast Food",
13,32FTAxYkehRO2lozvGszkQ,Subway,"5061 E Sahara Ave, Ste 115",Las Vegas,NV,89142,36.1438977,-115.0641604,3.0,3,"{'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'False', 'WiFi': ""u'no'"", 'RestaurantsReservations': 'False', 'NoiseLevel': ""u'average'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'none'"", 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'BikeParking': 'True', 'RestaurantsDelivery': 'False', 'HasTV': 'False', 'BusinessAcceptsCreditCards': 'True'}","Restaurants, Fast Food, Sandwiches",
14,ppmYIHMCIL5bocUsJSsDWA,Market City Caffe,3770 Las Vegas Blvd S,Las Vegas,NV,89109,36.104612,-115.17603,3.5,11,"{'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'True', 'Alcohol': ""u'full_bar'"", 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'False', 'BikeParking': 'False'}","Restaurants, Italian",
15,_j2EtQtgLuXGRBfbM5YwZA,Noodle Asia,3355 Las Vegas Blvd S,Las Vegas,NV,89109,36.122689,-115.170163,3.5,1090,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsAttire': ""'casual'"", 'BikeParking': 'False', 'HasTV': 'False', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BYOBCorkage': ""'no'"", 'OutdoorSeating': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'WiFi': ""'free'"", 'Caters': 'False', 'RestaurantsTableService': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'WheelchairAccessible': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'NoiseLevel': ""u'average'""}","Restaurants, Asian Fusion, Chinese, Dim Sum, Noodles","{'Monday': '11:0-3:0', 'Tuesday': '11:0-3:0', 'Wednesday': '11:0-3:0', 'Thursday': '11:0-3:0', 'Friday': '11:0-3:0', 'Saturday': '11:0-3:0', 'Sunday': '11:0-3:0'}"
16,wsdxhfW0aVf7ayMqId1HmA,Courtyard Grill & Buffet,301 Fremont St,Las Vegas,NV,89101,36.1578674316,-115.1148529053,2.5,4,"{'NoiseLevel': ""u'average'"", 'RestaurantsPriceRange2': '2', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'full_bar'"", 'WiFi': ""u'no'"", 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True'}","Restaurants, American (New)",
17,G9-OvE0PBQtDZmnGEB3HEQ,Einstein Bros,2570 S Decatur Blvd,Las Vegas,NV,89102,36.1432476,-115.2063054,3.5,84,"{'WiFi': ""u'free'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'True', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'NoiseLevel': ""u'average'"", 'Caters': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'none'"", 'OutdoorSeating': 'True', 'HasTV': 'False', 'RestaurantsPriceRange2': '1', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'False'}","Restaurants, Sandwiches",
18,hmRR9whRtnbV5LyIC3Bxrg,Da Pizzeria,3137 S Industrial Rd,Las Vegas,NV,89109,36.1326597,-115.1728049,3.5,3,"{'RestaurantsAttire': ""u'casual'"", 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'GoodForKids': 'True', 'RestaurantsDelivery': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True'}","Restaurants, Pizza",
19,hCsJv234v62MgdsUU1j8dQ,Big Sur Oyster Bar,9777 S Las Vegas Blvd,Las Vegas,NV,89183,36.011588,-115.175342,3.5,254,"{'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}"", 'BYOBCorkage': ""'no'"", 'GoodForKids': 'True', 'OutdoorSeating': 'False', 'WiFi': ""u'no'"", 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'Alcohol': ""u'full_bar'"", 'RestaurantsTableService': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsReservations': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'HasTV': 'False', 'BikeParking': 'True', 'Caters': 'False'}","Restaurants, Seafood","{'Monday': '12:0-0:0', 'Tuesday': '12:0-0:0', 'Wednesday': '12:0-0:0', 'Thursday': '12:0-0:0', 'Friday': '12:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-0:0'}"
20,bK70PtUK5nGGLzP7tChaeg,Putter's Bar & Grill,3330 E Tropicana Ave,Las Vegas,NV,89121,36.1007,-115.102946,3.0,22,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'GoodForKids': 'False', 'Alcohol': ""u'full_bar'"", 'NoiseLevel': ""u'average'"", 'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '1', 'Caters': 'False', 'HasTV': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}"", 'BikeParking': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'BusinessAcceptsBitcoin': 'False', 'WiFi': ""u'free'"", 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'False'}","Restaurants, American (Traditional), Lounges, Bars, Nightlife","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
21,9YiQ3o0EGmtojzjXdEfgeQ,The Green Regime,"5835 S Eastern Ave, Ste 101",Las Vegas,NV,89119,36.0838414902,-115.1197339967,4.5,64,"{'Caters': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '1', 'NoiseLevel': ""u'quiet'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsTableService': 'False', 'RestaurantsAttire': ""'casual'"", 'BikeParking': 'False', 'RestaurantsGoodForGroups': 'True', 'WheelchairAccessible': 'True', 'HasTV': 'True', 'BusinessAcceptsBitcoin': 'False', 'RestaurantsDelivery': 'False', 'GoodForKids': 'True', 'RestaurantsReservations': 'False', 'OutdoorSeating': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'DogsAllowed': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'none'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}""}","Restaurants, Food Stands, Sandwiches, Salad, Food, Juice Bars & Smoothies","{'Monday': '0:0-0:0', 'Tuesday': '10:0-16:0', 'Wednesday': '10:0-16:0'}"
22,jKLbTpVhEZd3wxuwMnG-Yg,Dewdney Delish,2067 N Jones Blvd,Las Vegas,NV,89108,36.196751,-115.223802,5.0,4,,"Restaurants, Caribbean","{'Tuesday': '11:0-19:0', 'Wednesday': '11:0-19:0', 'Thursday': '11:0-19:0', 'Friday': '11:0-19:0', 'Saturday': '11:0-19:0'}"
